Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2017,2017 Senior Report,Able-bodied,West Virginia,50,56.5,-2,,
2017,2017 Senior Report,Able-bodied,Wyoming,31,63.8,-0.2,,
2017,2017 Senior Report,All Determinants - Senior,Alaska,26,0.007,0.007,,
2017,2017 Senior Report,All Determinants - Senior,Alabama,36,-0.117,-0.117,,
2017,2017 Senior Report,All Determinants - Senior,Arkansas,45,-0.318,-0.318,,
2017,2017 Senior Report,All Determinants - Senior,Arizona,25,0.011,0.011,,
2017,2017 Senior Report,All Determinants - Senior,California,13,0.188,0.188,,
2017,2017 Senior Report,All Determinants - Senior,Colorado,5,0.329,0.329,,
2017,2017 Senior Report,All Determinants - Senior,Connecticut,6,0.328,0.328,,
2017,2017 Senior Report,All Determinants - Senior,Delaware,11,0.199,0.199,,
2017,2017 Senior Report,All Determinants - Senior,Florida,29,-0.043,-0.043,,
2017,2017 Senior Report,All Determinants - Senior,Georgia,39,-0.198,-0.198,,
2017,2017 Senior Report,All Determinants - Senior,Hawaii,4,0.332,0.332,,
2017,2017 Senior Report,All Determinants - Senior,Iowa,18,0.099,0.099,,
2017,2017 Senior Report,All Determinants - Senior,Idaho,30,-0.053,-0.053,,
2017,2017 Senior Report,All Determinants - Senior,Illinois,41,-0.211,-0.211,,
2017,2017 Senior Report,All Determinants - Senior,Indiana,38,-0.182,-0.182,,
2017,2017 Senior Report,All Determinants - Senior,Kansas,28,-0.024,-0.024,,
2017,2017 Senior Report,All Determinants - Senior,Kentucky,47,-0.426,-0.426,,
2017,2017 Senior Report,All Determinants - Senior,Louisiana,50,-0.511,-0.511,,
2017,2017 Senior Report,All Determinants - Senior,Massachusetts,2,0.377,0.377,,
2017,2017 Senior Report,All Determinants - Senior,Maryland,19,0.095,0.095,,
2017,2017 Senior Report,All Determinants - Senior,Maine,12,0.196,0.196,,
2017,2017 Senior Report,All Determinants - Senior,Michigan,24,0.016,0.016,,
2017,2017 Senior Report,All Determinants - Senior,Minnesota,3,0.35,0.35,,
2017,2017 Senior Report,All Determinants - Senior,Missouri,40,-0.204,-0.204,,
2017,2017 Senior Report,All Determinants - Senior,Mississippi,49,-0.504,-0.504,,
2017,2017 Senior Report,All Determinants - Senior,Montana,32,-0.063,-0.063,,
2017,2017 Senior Report,All Determinants - Senior,North Carolina,21,0.077,0.077,,
2017,2017 Senior Report,All Determinants - Senior,North Dakota,20,0.094,0.094,,
2017,2017 Senior Report,All Determinants - Senior,Nebraska,30,-0.053,-0.053,,
2017,2017 Senior Report,All Determinants - Senior,New Hampshire,8,0.326,0.326,,
2017,2017 Senior Report,All Determinants - Senior,New Jersey,22,0.076,0.076,,
2017,2017 Senior Report,All Determinants - Senior,New Mexico,34,-0.083,-0.083,,
2017,2017 Senior Report,All Determinants - Senior,Nevada,46,-0.355,-0.355,,
2017,2017 Senior Report,All Determinants - Senior,New York,17,0.104,0.104,,
2017,2017 Senior Report,All Determinants - Senior,Ohio,35,-0.086,-0.086,,
2017,2017 Senior Report,All Determinants - Senior,Oklahoma,48,-0.43,-0.43,,
2017,2017 Senior Report,All Determinants - Senior,Oregon,9,0.277,0.277,,
2017,2017 Senior Report,All Determinants - Senior,Pennsylvania,23,0.025,0.025,,
2017,2017 Senior Report,All Determinants - Senior,Rhode Island,15,0.151,0.151,,
2017,2017 Senior Report,All Determinants - Senior,South Carolina,27,-0.01,-0.01,,
2017,2017 Senior Report,All Determinants - Senior,South Dakota,16,0.111,0.111,,
2017,2017 Senior Report,All Determinants - Senior,Tennessee,42,-0.215,-0.215,,
2017,2017 Senior Report,All Determinants - Senior,Texas,37,-0.159,-0.159,,
2017,2017 Senior Report,All Determinants - Senior,Utah,1,0.507,0.507,,
2017,2017 Senior Report,All Determinants - Senior,Virginia,33,-0.076,-0.076,,
2017,2017 Senior Report,All Determinants - Senior,Vermont,6,0.328,0.328,,
2017,2017 Senior Report,All Determinants - Senior,Washington,10,0.275,0.275,,
2017,2017 Senior Report,All Determinants - Senior,Wisconsin,14,0.161,0.161,,
2017,2017 Senior Report,All Determinants - Senior,West Virginia,43,-0.224,-0.224,,
2017,2017 Senior Report,All Determinants - Senior,Wyoming,44,-0.241,-0.241,,
2017,2017 Senior Report,All Outcomes - Senior,Alaska,32,-0.005,-0.005,,
2017,2017 Senior Report,All Outcomes - Senior,Alabama,47,-0.313,-0.313,,
2017,2017 Senior Report,All Outcomes - Senior,Arkansas,48,-0.316,-0.316,,
2017,2017 Senior Report,All Outcomes - Senior,Arizona,22,0.068,0.068,,
2017,2017 Senior Report,All Outcomes - Senior,California,21,0.075,0.075,,
2017,2017 Senior Report,All Outcomes - Senior,Colorado,3,0.266,0.266,,
2017,2017 Senior Report,All Outcomes - Senior,Connecticut,6,0.198,0.198,,
2017,2017 Senior Report,All Outcomes - Senior,Delaware,25,0.042,0.042,,
2017,2017 Senior Report,All Outcomes - Senior,Florida,28,0.025,0.025,,
2017,2017 Senior Report,All Outcomes - Senior,Georgia,39,-0.133,-0.133,,
2017,2017 Senior Report,All Outcomes - Senior,Hawaii,2,0.288,0.288,,
2017,2017 Senior Report,All Outcomes - Senior,Iowa,17,0.118,0.118,,
2017,2017 Senior Report,All Outcomes - Senior,Idaho,15,0.139,0.139,,
2017,2017 Senior Report,All Outcomes - Senior,Illinois,33,-0.009,-0.009,,
2017,2017 Senior Report,All Outcomes - Senior,Indiana,39,-0.133,-0.133,,
2017,2017 Senior Report,All Outcomes - Senior,Kansas,31,-0.003,-0.003,,
2017,2017 Senior Report,All Outcomes - Senior,Kentucky,50,-0.337,-0.337,,
2017,2017 Senior Report,All Outcomes - Senior,Louisiana,43,-0.23,-0.23,,
2017,2017 Senior Report,All Outcomes - Senior,Massachusetts,9,0.168,0.168,,
2017,2017 Senior Report,All Outcomes - Senior,Maryland,7,0.178,0.178,,
2017,2017 Senior Report,All Outcomes - Senior,Maine,14,0.142,0.142,,
2017,2017 Senior Report,All Outcomes - Senior,Michigan,34,-0.013,-0.013,,
2017,2017 Senior Report,All Outcomes - Senior,Minnesota,1,0.309,0.309,,
2017,2017 Senior Report,All Outcomes - Senior,Missouri,42,-0.153,-0.153,,
2017,2017 Senior Report,All Outcomes - Senior,Mississippi,45,-0.287,-0.287,,
2017,2017 Senior Report,All Outcomes - Senior,Montana,23,0.066,0.066,,
2017,2017 Senior Report,All Outcomes - Senior,North Carolina,39,-0.133,-0.133,,
2017,2017 Senior Report,All Outcomes - Senior,North Dakota,13,0.145,0.145,,
2017,2017 Senior Report,All Outcomes - Senior,Nebraska,19,0.11,0.11,,
2017,2017 Senior Report,All Outcomes - Senior,New Hampshire,4,0.234,0.234,,
2017,2017 Senior Report,All Outcomes - Senior,New Jersey,20,0.08,0.08,,
2017,2017 Senior Report,All Outcomes - Senior,New Mexico,35,-0.04,-0.04,,
2017,2017 Senior Report,All Outcomes - Senior,Nevada,26,0.033,0.033,,
2017,2017 Senior Report,All Outcomes - Senior,New York,27,0.027,0.027,,
2017,2017 Senior Report,All Outcomes - Senior,Ohio,36,-0.066,-0.066,,
2017,2017 Senior Report,All Outcomes - Senior,Oklahoma,49,-0.324,-0.324,,
2017,2017 Senior Report,All Outcomes - Senior,Oregon,24,0.051,0.051,,
2017,2017 Senior Report,All Outcomes - Senior,Pennsylvania,30,0,0,,
2017,2017 Senior Report,All Outcomes - Senior,Rhode Island,11,0.153,0.153,,
2017,2017 Senior Report,All Outcomes - Senior,South Carolina,38,-0.098,-0.098,,
2017,2017 Senior Report,All Outcomes - Senior,South Dakota,10,0.157,0.157,,
2017,2017 Senior Report,All Outcomes - Senior,Tennessee,44,-0.263,-0.263,,
2017,2017 Senior Report,All Outcomes - Senior,Texas,37,-0.084,-0.084,,
2017,2017 Senior Report,All Outcomes - Senior,Utah,12,0.146,0.146,,
2017,2017 Senior Report,All Outcomes - Senior,Virginia,18,0.113,0.113,,
2017,2017 Senior Report,All Outcomes - Senior,Vermont,8,0.176,0.176,,
2017,2017 Senior Report,All Outcomes - Senior,Washington,16,0.128,0.128,,
2017,2017 Senior Report,All Outcomes - Senior,Wisconsin,5,0.202,0.202,,
2017,2017 Senior Report,All Outcomes - Senior,West Virginia,46,-0.298,-0.298,,
2017,2017 Senior Report,All Outcomes - Senior,Wyoming,29,0.011,0.011,,
2017,2017 Senior Report,Behaviors - Seniors,Alaska,39,-0.099,-0.099,,
2017,2017 Senior Report,Behaviors - Seniors,Alabama,30,-0.06,-0.06,,
2017,2017 Senior Report,Behaviors - Seniors,Arkansas,41,-0.115,-0.115,,
2017,2017 Senior Report,Behaviors - Seniors,Arizona,8,0.075,0.075,,
2017,2017 Senior Report,Behaviors - Seniors,California,2,0.218,0.218,,
2017,2017 Senior Report,Behaviors - Seniors,Colorado,3,0.183,0.183,,
2017,2017 Senior Report,Behaviors - Seniors,Connecticut,6,0.12,0.12,,
2017,2017 Senior Report,Behaviors - Seniors,Delaware,31,-0.067,-0.067,,
2017,2017 Senior Report,Behaviors - Seniors,Florida,17,0.04,0.04,,
2017,2017 Senior Report,Behaviors - Seniors,Georgia,27,-0.042,-0.042,,
2017,2017 Senior Report,Behaviors - Seniors,Hawaii,4,0.141,0.141,,
2017,2017 Senior Report,Behaviors - Seniors,Iowa,38,-0.098,-0.098,,
2017,2017 Senior Report,Behaviors - Seniors,Idaho,23,-0.003,-0.003,,
2017,2017 Senior Report,Behaviors - Seniors,Illinois,43,-0.127,-0.127,,
2017,2017 Senior Report,Behaviors - Seniors,Indiana,48,-0.155,-0.155,,
2017,2017 Senior Report,Behaviors - Seniors,Kansas,19,0.012,0.012,,
2017,2017 Senior Report,Behaviors - Seniors,Kentucky,46,-0.145,-0.145,,
2017,2017 Senior Report,Behaviors - Seniors,Louisiana,49,-0.171,-0.171,,
2017,2017 Senior Report,Behaviors - Seniors,Massachusetts,14,0.058,0.058,,
2017,2017 Senior Report,Behaviors - Seniors,Maryland,26,-0.039,-0.039,,
2017,2017 Senior Report,Behaviors - Seniors,Maine,28,-0.046,-0.046,,
2017,2017 Senior Report,Behaviors - Seniors,Michigan,35,-0.078,-0.078,,
2017,2017 Senior Report,Behaviors - Seniors,Minnesota,11,0.063,0.063,,
2017,2017 Senior Report,Behaviors - Seniors,Missouri,40,-0.113,-0.113,,
2017,2017 Senior Report,Behaviors - Seniors,Mississippi,45,-0.141,-0.141,,
2017,2017 Senior Report,Behaviors - Seniors,Montana,22,-0.002,-0.002,,
2017,2017 Senior Report,Behaviors - Seniors,North Carolina,16,0.05,0.05,,
2017,2017 Senior Report,Behaviors - Seniors,North Dakota,29,-0.051,-0.051,,
2017,2017 Senior Report,Behaviors - Seniors,Nebraska,37,-0.087,-0.087,,
2017,2017 Senior Report,Behaviors - Seniors,New Hampshire,15,0.052,0.052,,
2017,2017 Senior Report,Behaviors - Seniors,New Jersey,20,0.005,0.005,,
2017,2017 Senior Report,Behaviors - Seniors,New Mexico,7,0.083,0.083,,
2017,2017 Senior Report,Behaviors - Seniors,Nevada,47,-0.152,-0.152,,
2017,2017 Senior Report,Behaviors - Seniors,New York,18,0.038,0.038,,
2017,2017 Senior Report,Behaviors - Seniors,Ohio,33,-0.075,-0.075,,
2017,2017 Senior Report,Behaviors - Seniors,Oklahoma,44,-0.135,-0.135,,
2017,2017 Senior Report,Behaviors - Seniors,Oregon,12,0.061,0.061,,
2017,2017 Senior Report,Behaviors - Seniors,Pennsylvania,50,-0.177,-0.177,,
2017,2017 Senior Report,Behaviors - Seniors,Rhode Island,9,0.073,0.073,,
2017,2017 Senior Report,Behaviors - Seniors,South Carolina,21,0,0,,
2017,2017 Senior Report,Behaviors - Seniors,South Dakota,9,0.073,0.073,,
2017,2017 Senior Report,Behaviors - Seniors,Tennessee,42,-0.117,-0.117,,
2017,2017 Senior Report,Behaviors - Seniors,Texas,25,-0.021,-0.021,,
2017,2017 Senior Report,Behaviors - Seniors,Utah,1,0.22,0.22,,
2017,2017 Senior Report,Behaviors - Seniors,Virginia,24,-0.019,-0.019,,
2017,2017 Senior Report,Behaviors - Seniors,Vermont,13,0.06,0.06,,
2017,2017 Senior Report,Behaviors - Seniors,Washington,5,0.125,0.125,,
2017,2017 Senior Report,Behaviors - Seniors,Wisconsin,32,-0.073,-0.073,,
2017,2017 Senior Report,Behaviors - Seniors,West Virginia,34,-0.076,-0.076,,
2017,2017 Senior Report,Behaviors - Seniors,Wyoming,36,-0.079,-0.079,,
2017,2017 Senior Report,Clinical Care - Seniors,Alaska,49,-0.106,-0.106,,
2017,2017 Senior Report,Clinical Care - Seniors,Alabama,33,-0.013,-0.013,,
2017,2017 Senior Report,Clinical Care - Seniors,Arkansas,43,-0.059,-0.059,,
2017,2017 Senior Report,Clinical Care - Seniors,Arizona,19,0.019,0.019,,
2017,2017 Senior Report,Clinical Care - Seniors,California,23,0.006,0.006,,
2017,2017 Senior Report,Clinical Care - Seniors,Colorado,1,0.094,0.094,,
2017,2017 Senior Report,Clinical Care - Seniors,Connecticut,14,0.032,0.032,,
2017,2017 Senior Report,Clinical Care - Seniors,Delaware,2,0.088,0.088,,
2017,2017 Senior Report,Clinical Care - Seniors,Florida,29,-0.007,-0.007,,
2017,2017 Senior Report,Clinical Care - Seniors,Georgia,32,-0.01,-0.01,,
2017,2017 Senior Report,Clinical Care - Seniors,Hawaii,15,0.031,0.031,,
2017,2017 Senior Report,Clinical Care - Seniors,Iowa,6,0.07,0.07,,
2017,2017 Senior Report,Clinical Care - Seniors,Idaho,20,0.009,0.009,,
2017,2017 Senior Report,Clinical Care - Seniors,Illinois,39,-0.04,-0.04,,
2017,2017 Senior Report,Clinical Care - Seniors,Indiana,34,-0.027,-0.027,,
2017,2017 Senior Report,Clinical Care - Seniors,Kansas,26,-0.001,-0.001,,
2017,2017 Senior Report,Clinical Care - Seniors,Kentucky,44,-0.068,-0.068,,
2017,2017 Senior Report,Clinical Care - Seniors,Louisiana,35,-0.028,-0.028,,
2017,2017 Senior Report,Clinical Care - Seniors,Massachusetts,12,0.051,0.051,,
2017,2017 Senior Report,Clinical Care - Seniors,Maryland,24,0.005,0.005,,
2017,2017 Senior Report,Clinical Care - Seniors,Maine,4,0.085,0.085,,
2017,2017 Senior Report,Clinical Care - Seniors,Michigan,20,0.009,0.009,,
2017,2017 Senior Report,Clinical Care - Seniors,Minnesota,5,0.078,0.078,,
2017,2017 Senior Report,Clinical Care - Seniors,Missouri,28,-0.006,-0.006,,
2017,2017 Senior Report,Clinical Care - Seniors,Mississippi,47,-0.097,-0.097,,
2017,2017 Senior Report,Clinical Care - Seniors,Montana,40,-0.041,-0.041,,
2017,2017 Senior Report,Clinical Care - Seniors,North Carolina,8,0.059,0.059,,
2017,2017 Senior Report,Clinical Care - Seniors,North Dakota,45,-0.075,-0.075,,
2017,2017 Senior Report,Clinical Care - Seniors,Nebraska,31,-0.009,-0.009,,
2017,2017 Senior Report,Clinical Care - Seniors,New Hampshire,10,0.057,0.057,,
2017,2017 Senior Report,Clinical Care - Seniors,New Jersey,38,-0.037,-0.037,,
2017,2017 Senior Report,Clinical Care - Seniors,New Mexico,35,-0.028,-0.028,,
2017,2017 Senior Report,Clinical Care - Seniors,Nevada,48,-0.101,-0.101,,
2017,2017 Senior Report,Clinical Care - Seniors,New York,37,-0.035,-0.035,,
2017,2017 Senior Report,Clinical Care - Seniors,Ohio,22,0.008,0.008,,
2017,2017 Senior Report,Clinical Care - Seniors,Oklahoma,41,-0.046,-0.046,,
2017,2017 Senior Report,Clinical Care - Seniors,Oregon,11,0.052,0.052,,
2017,2017 Senior Report,Clinical Care - Seniors,Pennsylvania,15,0.031,0.031,,
2017,2017 Senior Report,Clinical Care - Seniors,Rhode Island,8,0.059,0.059,,
2017,2017 Senior Report,Clinical Care - Seniors,South Carolina,13,0.033,0.033,,
2017,2017 Senior Report,Clinical Care - Seniors,South Dakota,26,-0.001,-0.001,,
2017,2017 Senior Report,Clinical Care - Seniors,Tennessee,42,-0.055,-0.055,,
2017,2017 Senior Report,Clinical Care - Seniors,Texas,17,0.028,0.028,,
2017,2017 Senior Report,Clinical Care - Seniors,Utah,3,0.087,0.087,,
2017,2017 Senior Report,Clinical Care - Seniors,Virginia,29,-0.007,-0.007,,
2017,2017 Senior Report,Clinical Care - Seniors,Vermont,25,0.004,0.004,,
2017,2017 Senior Report,Clinical Care - Seniors,Washington,18,0.021,0.021,,
2017,2017 Senior Report,Clinical Care - Seniors,Wisconsin,7,0.069,0.069,,
2017,2017 Senior Report,Clinical Care - Seniors,West Virginia,46,-0.081,-0.081,,
2017,2017 Senior Report,Clinical Care - Seniors,Wyoming,50,-0.143,-0.143,,
2017,2017 Senior Report,Cognitive Difficulty,Alaska,44,10.6,1.1,14.3,6.9
2017,2017 Senior Report,Cognitive Difficulty,Alabama,46,10.9,1.3,12.1,9.7
2017,2017 Senior Report,Cognitive Difficulty,United States,,9,,9.2,8.8
2017,2017 Senior Report,Cognitive Difficulty,Arkansas,47,11.2,1.5,12.6,9.8
2017,2017 Senior Report,Cognitive Difficulty,Arizona,23,8.4,-0.4,9.2,7.6
2017,2017 Senior Report,Cognitive Difficulty,California,38,10,0.7,10.4,9.6
2017,2017 Senior Report,Cognitive Difficulty,Colorado,11,7.6,-1,8.6,6.6
2017,2017 Senior Report,Cognitive Difficulty,Connecticut,18,8.1,-0.6,9.3,6.9
2017,2017 Senior Report,Cognitive Difficulty,District of Columbia,,7.6,,10.5,4.7
2017,2017 Senior Report,Cognitive Difficulty,Delaware,1,6.1,-2,7.9,4.3
2017,2017 Senior Report,Cognitive Difficulty,Florida,27,8.7,-0.2,9.3,8.1
2017,2017 Senior Report,Cognitive Difficulty,Georgia,36,9.9,0.6,10.9,8.9
2017,2017 Senior Report,Cognitive Difficulty,Hawaii,41,10.3,0.9,12.5,8.1
2017,2017 Senior Report,Cognitive Difficulty,Iowa,2,6.8,-1.5,7.6,6
2017,2017 Senior Report,Cognitive Difficulty,Idaho,25,8.6,-0.3,10.6,6.6
2017,2017 Senior Report,Cognitive Difficulty,Illinois,9,7.5,-1,8.1,6.9
2017,2017 Senior Report,Cognitive Difficulty,Indiana,27,8.7,-0.2,9.7,7.7
2017,2017 Senior Report,Cognitive Difficulty,Kansas,13,7.8,-0.8,8.8,6.8
2017,2017 Senior Report,Cognitive Difficulty,Kentucky,43,10.5,1,11.5,9.5
2017,2017 Senior Report,Cognitive Difficulty,Louisiana,41,10.3,0.9,11.5,9.1
2017,2017 Senior Report,Cognitive Difficulty,Massachusetts,21,8.3,-0.5,9.1,7.5
2017,2017 Senior Report,Cognitive Difficulty,Maryland,16,8,-0.7,8.8,7.2
2017,2017 Senior Report,Cognitive Difficulty,Maine,11,7.6,-1,9,6.2
2017,2017 Senior Report,Cognitive Difficulty,Michigan,27,8.7,-0.2,9.3,8.1
2017,2017 Senior Report,Cognitive Difficulty,Minnesota,5,6.9,-1.4,7.7,6.1
2017,2017 Senior Report,Cognitive Difficulty,Missouri,31,8.8,-0.1,9.8,7.8
2017,2017 Senior Report,Cognitive Difficulty,Mississippi,50,12.1,2,13.7,10.5
2017,2017 Senior Report,Cognitive Difficulty,Montana,2,6.8,-1.5,8.4,5.2
2017,2017 Senior Report,Cognitive Difficulty,North Carolina,36,9.9,0.6,10.7,9.1
2017,2017 Senior Report,Cognitive Difficulty,North Dakota,14,7.9,-0.8,10.6,5.2
2017,2017 Senior Report,Cognitive Difficulty,Nebraska,7,7.1,-1.3,8.3,5.9
2017,2017 Senior Report,Cognitive Difficulty,New Hampshire,5,6.9,-1.4,8.5,5.3
2017,2017 Senior Report,Cognitive Difficulty,New Jersey,16,8,-0.7,8.6,7.4
2017,2017 Senior Report,Cognitive Difficulty,New Mexico,48,11.4,1.7,13.4,9.4
2017,2017 Senior Report,Cognitive Difficulty,Nevada,27,8.7,-0.2,10.1,7.3
2017,2017 Senior Report,Cognitive Difficulty,New York,25,8.6,-0.3,9,8.2
2017,2017 Senior Report,Cognitive Difficulty,Ohio,18,8.1,-0.6,8.7,7.5
2017,2017 Senior Report,Cognitive Difficulty,Oklahoma,33,9.3,0.2,10.3,8.3
2017,2017 Senior Report,Cognitive Difficulty,Oregon,38,10,0.7,11.4,8.6
2017,2017 Senior Report,Cognitive Difficulty,Pennsylvania,21,8.3,-0.5,8.9,7.7
2017,2017 Senior Report,Cognitive Difficulty,Rhode Island,32,9,0,11.2,6.8
2017,2017 Senior Report,Cognitive Difficulty,South Carolina,40,10.2,0.8,11.2,9.2
2017,2017 Senior Report,Cognitive Difficulty,South Dakota,8,7.4,-1.1,9.2,5.6
2017,2017 Senior Report,Cognitive Difficulty,Tennessee,45,10.7,1.2,11.7,9.7
2017,2017 Senior Report,Cognitive Difficulty,Texas,35,9.8,0.6,10.4,9.2
2017,2017 Senior Report,Cognitive Difficulty,Utah,14,7.9,-0.8,9.3,6.5
2017,2017 Senior Report,Cognitive Difficulty,Virginia,20,8.2,-0.6,9,7.4
2017,2017 Senior Report,Cognitive Difficulty,Vermont,24,8.5,-0.3,10.9,6.1
2017,2017 Senior Report,Cognitive Difficulty,Washington,34,9.6,0.4,10.4,8.8
2017,2017 Senior Report,Cognitive Difficulty,Wisconsin,2,6.8,-1.5,7.6,6
2017,2017 Senior Report,Cognitive Difficulty,West Virginia,49,11.6,1.8,13.4,9.8
2017,2017 Senior Report,Cognitive Difficulty,Wyoming,9,7.5,-1,10.4,4.6
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Alaska,12,0.083,0.083,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Alabama,31,-0.001,-0.001,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Arkansas,40,-0.041,-0.041,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Arizona,27,0.016,0.016,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,California,33,-0.007,-0.007,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Colorado,13,0.082,0.082,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Connecticut,17,0.075,0.075,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Delaware,4,0.119,0.119,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Florida,36,-0.036,-0.036,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Georgia,45,-0.086,-0.086,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Hawaii,26,0.021,0.021,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Iowa,8,0.105,0.105,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Idaho,19,0.058,0.058,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Illinois,37,-0.038,-0.038,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Indiana,21,0.041,0.041,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Kansas,11,0.084,0.084,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Kentucky,49,-0.131,-0.131,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Louisiana,50,-0.171,-0.171,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Massachusetts,34,-0.011,-0.011,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Maryland,23,0.027,0.027,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Maine,15,0.078,0.078,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Michigan,23,0.027,0.027,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Minnesota,2,0.148,0.148,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Missouri,25,0.022,0.022,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Mississippi,48,-0.117,-0.117,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Montana,18,0.064,0.064,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,North Carolina,42,-0.061,-0.061,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,North Dakota,10,0.087,0.087,,
2017,2017 Senior Report,Community & Environment - Macro - Seniors,Nebraska,6,0.108,0.108,,
