,,,,,,,,,
1,position,Rank Among Large Cities,MSA,Overall Rank,Percent of Millennials that own,Percent of Millennials that rent,Years to save up,Average Millennial home value,Millennial home value portion
67,64,19,"Bridgeport-Stamford-Norwalk, CT",53,35.20%,64.80%,24.2,"$459,909 ",72.40%
68,65,20,"Knoxville, TN",55,35.00%,65.00%,10.6,"$164,919 ",81.90%
69,66,21,"Tulsa, OK",56,35.00%,65.00%,8.2,"$154,671 ",86.40%
70,67,22,"Syracuse, NY",57,34.90%,65.10%,7.5,"$131,374 ",80.90%
71,68,23,"Bakersfield, CA",58,34.80%,65.20%,15.7,"$245,335 ",100.60%
72,69,24,"Worcester, MA-CT",59,34.70%,65.30%,12,"$235,693 ",84.10%
73,70,25,"Albuquerque, NM",60,34.70%,65.30%,10.4,"$164,058 ",76.40%
74,71,26,"Akron, OH",66,33.30%,66.70%,8.8,"$141,276 ",82.00%
75,72,27,"Cape Coral-Fort Myers, FL",69,32.50%,67.50%,12.7,"$200,338 ",78.20%
76,73,28,"Lakeland-Winter Haven, FL",70,32.30%,67.70%,8.9,"$146,831 ",95.80%
77,74,29,"North Port-Sarasota-Bradenton, FL",72,32.20%,67.80%,14.2,"$218,891 ",78.40%
78,75,30,"Deltona-Daytona Beach-Ormond Beach, FL",74,32.10%,67.90%,10.4,"$160,023 ",84.70%
79,76,31,"Little Rock-North Little Rock-Conway, AR",75,32.10%,67.90%,9.2,"$159,606 ",86.40%
80,77,32,"Toledo, OH",76,32.00%,68.00%,7.6,"$118,072 ",84.20%
81,78,33,"Dayton, OH",79,31.50%,68.50%,6.9,"$120,466 ",78.80%
82,79,34,"El Paso, TX",83,31.40%,68.60%,8.6,"$142,654 ",104.60%
83,80,35,"Colorado Springs, CO",86,30.90%,69.10%,11.8,"$210,502 ",75.30%
84,81,36,"Springfield, MA",87,30.80%,69.20%,12.1,"$209,428 ",87.20%
85,82,37,"Stockton-Lodi, CA",94,29.90%,70.10%,16.5,"$258,891 ",82.00%
86,83,38,"Albany-Schenectady-Troy, NY",97,29.30%,70.70%,9.5,"$184,233 ",82.20%
87,84,39,"Tucson, AZ",107,28.50%,71.50%,9.7,"$150,938 ",68.80%
88,85,40,"Greensboro-High Point, NC",111,27.90%,72.10%,9.2,"$147,864 ",81.50%
89,86,41,"Oxnard-Thousand Oaks-Ventura, CA",112,27.80%,72.20%,26.1,"$428,187 ",70.80%
90,87,42,"New Orleans-Metairie, LA",113,27.70%,72.30%,12.5,"$233,673 ",96.50%
91,88,43,"Madison, WI",126,24.70%,75.30%,12,"$226,503 ",86.90%
92,89,44,"New Haven-Milford, CT",127,24.40%,75.60%,12.2,"$238,997 ",85.50%
93,90,45,"Fresno, CA",128,23.60%,76.40%,15.7,"$212,713 ",85.30%
94,91,46,"Urban Honolulu, HI",134,18.30%,81.70%,24.7,"$494,116 ",70.50%
95,,,,,,,,,
96,position,Rank Among Small Cities,MSA,Overall Rank,Percent of Millennials that own,Percent of Millennials that rent,Years to save up,Average Millennial home value,Millennial home value portion
97,92,1,"York-Hanover, PA",2,48.90%,51.10%,11,"$185,941 ",98.80%
98,93,2,"Reading, PA",3,48.40%,51.60%,10,"$176,192 ",91.50%
99,94,3,"Fort Wayne, IN",4,45.90%,54.10%,7.4,"$139,203 ",92.60%
100,95,4,"Davenport-Moline-Rock Island, IA-IL",6,43.90%,56.10%,8.7,"$153,225 ",99.60%
101,96,5,"Chattanooga, TN-GA",7,43.70%,56.30%,9,"$147,012 ",76.30%
102,97,6,"Beaumont-Port Arthur, TX",10,42.80%,57.20%,6.9,"$131,519 ",100.10%
103,98,7,"Scranton--Wilkes-Barre--Hazleton, PA",12,41.90%,58.10%,8.2,"$139,329 ",86.60%
104,99,8,"Lafayette, LA",13,41.80%,58.20%,8.5,"$156,186 ",88.60%
105,100,9,"Lancaster, PA",15,40.80%,59.20%,11.6,"$211,037 ",91.90%
106,101,10,"Canton-Massillon, OH",16,40.60%,59.40%,8.1,"$130,797 ",88.60%
107,102,11,"Portland-South Portland, ME",18,40.50%,59.50%,12.5,"$228,178 ",79.30%
108,103,12,"Provo-Orem, UT",23,39.10%,60.90%,19.2,"$243,493 ",84.10%
109,104,13,"Port St. Lucie, FL",25,38.60%,61.40%,9.4,"$160,311 ",70.70%
110,105,14,"Flint, MI",27,38.40%,61.60%,7.1,"$100,262 ",87.00%
111,106,15,"Youngstown-Warren-Boardman, OH-PA",28,38.30%,61.70%,6.9,"$97,399 ",77.10%
112,107,16,"Salisbury, MD-DE",31,37.40%,62.60%,12.1,"$207,400 ",80.10%
113,108,17,"Manchester-Nashua, NH",34,37.30%,62.70%,11.4,"$234,243 ",86.00%
114,109,18,"Huntsville, AL",39,36.40%,63.60%,10.2,"$175,268 ",87.10%
115,110,19,"Harrisburg-Carlisle, PA",46,35.90%,64.10%,8.5,"$163,855 ",82.30%
116,111,20,"Jackson, MS",50,35.40%,64.60%,8.3,"$143,033 ",78.70%
117,112,21,"Anchorage, AK",51,35.40%,64.60%,13.5,"$283,964 ",91.80%
118,113,22,"Modesto, CA",54,35.10%,64.90%,17.8,"$309,199 ",108.00%
119,114,23,"Augusta-Richmond County, GA-SC",61,34.70%,65.30%,8.9,"$149,108 ",88.80%
120,115,24,"Palm Bay-Melbourne-Titusville, FL",64,33.60%,66.40%,10.2,"$160,667 ",80.60%
121,116,25,"Brownsville-Harlingen, TX",67,33.20%,66.80%,9,"$117,819 ",118.50%
122,117,26,"Springfield, MO",68,32.90%,67.10%,9.6,"$144,856 ",86.20%
123,118,27,"Visalia-Porterville, CA",71,32.30%,67.70%,14.4,"$199,200 ",91.10%
124,119,28,"Shreveport-Bossier City, LA",81,31.50%,68.50%,11.4,"$189,868 ",107.00%
125,120,29,"Pensacola-Ferry Pass-Brent, FL",82,31.40%,68.60%,9.7,"$154,593 ",83.80%
126,121,30,"Mobile, AL",84,31.30%,68.70%,10.6,"$166,400 ",108.60%
127,122,31,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",85,31.10%,68.90%,12.1,"$181,796 ",84.60%
128,123,32,"Fayetteville-Springdale-Rogers, AR-MO",88,30.70%,69.30%,9.8,"$172,150 ",83.30%
129,124,33,"Asheville, NC",89,30.40%,69.60%,12.6,"$187,721 ",73.40%
130,125,34,"Salem, OR",91,30.00%,70.00%,12.9,"$203,609 ",89.00%
131,126,35,"Reno, NV",104,28.80%,71.20%,15.4,"$277,202 ",86.00%
132,127,36,"Lansing-East Lansing, MI",105,28.70%,71.30%,9.8,"$152,372 ",98.40%
133,128,37,"Gulfport-Biloxi-Pascagoula, MS",108,28.20%,71.80%,7.5,"$130,971 ",77.70%
134,129,38,"Corpus Christi, TX",115,27.20%,72.80%,7.8,"$137,124 ",88.00%
135,130,39,"Spokane-Spokane Valley, WA",117,26.90%,73.10%,13.9,"$210,627 ",92.30%
136,131,40,"Lexington-Fayette, KY",118,26.70%,73.30%,9.2,"$152,843 ",70.20%
137,132,41,"Vallejo-Fairfield, CA",123,25.70%,74.30%,18.3,"$358,258 ",97.60%
138,133,42,"Santa Rosa, CA",124,25.60%,74.40%,21.7,"$404,322 ",69.00%
139,134,43,"Durham-Chapel Hill, NC",125,25.20%,74.80%,13.7,"$199,844 ",75.80%
140,135,44,"Killeen-Temple, TX",129,22.20%,77.80%,9,"$151,757 ",84.80%
141,136,45,"Salinas, CA",136,17.60%,82.40%,30.5,"$492,341 ",82.90%
142,137,46,"Santa Maria-Santa Barbara, CA",137,13.70%,86.30%,43.7,"$615,774 ",76.50%
